Ant (แอ้นท์) มด
Bat (แบท) ค้างคาว
Bear (แบร์) หมี
Bee (บี) ผึ้ง
Bird (เบิร์ด) นก
Cat (แคท) แมว
Chicken (ชิค-เค่น) ไก่
Cow (คาว) วัว
Dog (ด็อก) สุนัข
Dolphin (ดอล-ฟิน) โลมา
Duck (ดั๊ก) เป็ด
Eagle (อี-เกิล) อินทรี
Elephant (เอ-ละ-เฟินท) ช้าง
Fish (ฟิช) ปลา
Fox (ฟ็อกซ์) สุนัขจิ้งจอก
Frog (ฟร็อก) กบ
Giraffe (จิ-แรฟ) ยีราฟ
Goat (โกท) แพะ
Goose (กูซ) ห่าน
Hamster (แฮม-สเทอะ) หนูแฮมสเตอร์
Hippo (ฮิพ-โพ) ฮิปโป
Horse (ฮอร์ส) ม้า
Kangaroo (แคง-กะ-รู) จิงโจ้
Koala (โค-อา-ละ) โคอาลา
Lion (ไล-อัน) สิงโต
Lizard (ลิ-ซาร์ด) จิ้งจก
Monkey (มัง-คี) ลิง
Mouse (เมาส์) หนู
Octopus (อ็อค-โท-พัส) ปลาหมึก
Owl (เอาล) นกฮูก
Panda (แพน-ดา) แพนด้า
Parrot (แพ-รอท) นกแก้ว
Penguin (เพน-กวิน) เพนกวิน
Pig (พิก) หมู
Pigeon (พิจ-เจิน) นกพิราบ
Rabbit (แร็บ-บิท) กระต่าย
Rat (แร็ท) หนู
Reindeer (เรน-เดียร์) กวางเรนเดียร์
Rhino (ไร-โน) แรด
Rooster (รูส-เทอะ) ไก่ตัวผู้
Seal (ซีล) แมวน้ำ
Shark (ชาร์ค) ฉลาม
Sheep (ชีพ) แกะ
Snail (สเนล) หอยทาก
Snake (สเนก) งู
Sparrow (สแพ-โร) นกกระจอก
Spider (สไป-เดอะ) แมงมุม
Squirrel (สเคว-เรล) กระรอก
Swan (สวอน) หงส์
Tiger (ไท-เกอะ) เสือ
Tortoise (ทอร์-ทัส) เต่า
Turkey (เทอร์-คี) ไก่งวง
Turtle (เทอร์-เทิล) เต่าทะเล
Walrus (วอล-รัส) วอลรัส
Whale (เวล) ปลาวาฬ
Wolf (วูลฟ) หมาป่า
Zebra (ซี-บร่า) ม้าลาย
Anteater (แอน-ทิ-เทอะ) ตัวกินมด
Armadillo (อาร์-มะ-ดิ-โล) ตัวนิ่ม
Badger (แบด-เจอะ) แบดเจอร์
Barracuda (แบร์-รา-คู-ดา) ปลากระโทงแทง
Bison (ไบ-ซัน) วัวกระทิง
Buffalo (บัฟ-ฟะ-โล) กระบือ
Butterfly (บัท-เทอะ-ฟลาย) ผีเสื้อ
Camel (แคม-เมล) อูฐ
Chimpanzee (ชิม-แพน-ซี) ลิงชิมแปนซี
Clam (แคลม) หอยกาบ
Crab (แคร็บ) ปู
Crocodile (ครอค-โค-ไดล์) จระเข้
Crow (โครว) อีกา
Cuckoo (คุก-คู) นกคัคคู
Deer (เดียร์) กวาง
Donkey (ดอง-คี) ลา
Falcon (แฟล-คอน) เหยี่ยว
Flamingo (ฟลา-มิง-โก) นกฟลามิงโก
Gorilla (กอ-ริล-ลา) กอริลลา
Hedgehog (เฮดจ์-ฮอก) เม่น
Heron (เฮร-ออน) นกกระยาง
Hyena (ไฮ-อี-นา) ไฮยีน่า
Jaguar (แจก-กัวร์) จากัวร์
Jellyfish (เจล-ลี-ฟิช) แมงกะพรุน
Lemur (ลี-เมอะ) ลีเมอร์
Leopard (เล-เอิพ-เอิด) เสือดาว
Lobster (ลอบ-สเทอะ) กุ้งมังกร
Mantis (แมน-ทิส) ตั๊กแตนตำข้าว
Meerkat (เมียร์-แคท) เมียร์แคต
Mole (โมล) ตัวตุ่น
Moose (มูซ) กวางมูส
Opossum (อะ-พอ-ซัม) โอพอสซัม
Otter (ออ-เทอะ) นาก
Peafowl (พี-ฟาวล์) นกยูง
Porcupine (พอร์-คิว-ไพน์) เม่น
Quail (เควล) นกกระทา
Raccoon (แรค-คูน) แรคคูน
Salamander (แซ-ละ-แมน-เดอะ) ซาลาแมนเดอร์
Scorpion (สกอร์-พี-อัน) แมงป่อง
Sloth (สโลธ) สลอธ
Starfish (สตาร์-ฟิช) ปลาดาว
Vulture (วัล-เชอะ) แร้ง
Weasel (วี-เซิล) พังพอน
