about | prep., adv. [อะเบาท์] | เกี่ยวกับ
above | prep., adv. [อะบัฟ] | เหนือ
across | prep., adv. [อะครอส] | ข้าม
action | n. [แอคชัน] | การกระทำ
activity | n. [แอคทิวิที] | กิจกรรม
actor | n. [แอคเทอร์] | นักแสดงชาย
actress | n. [แอคเทรส] | นักแสดงหญิง
add | v. [แอด] | เพิ่ม
address | n. [แอดเดรส] | ที่อยู่
adult | n. [อะดัลท์] | ผู้ใหญ่
advice | n. [แอดไวซ์] | คำแนะนำ
afraid | adj. [อะเฟรด] | กลัว
after | prep. [อาฟเทอร์] | หลังจาก
afternoon | n. [อาฟเทอร์นูน] | บ่าย
again | adv. [อะเกน] | อีกครั้ง
age | n. [เอจ] | อายุ
ago | adv. [อะโก] | ที่ผ่านมา
agree | v. [อะกรี] | เห็นด้วย
air | n. [แอร์] | อากาศ
airport | n. [แอร์พอร์ต] | สนามบิน
also | adv. [ออลโซ] | ด้วย
always | adv. [ออลเวย์ส] | เสมอ
amazing | adj. [อะเมซิง] | น่าทึ่ง
and | conj. [แอนด์] | และ
angry | adj. [แองกรี] | โกรธ
animal | n. [แอนิมอล] | สัตว์
another | det./pron. [อะนัทเทอร์] | อีกหนึ่ง
answer | n., v. [แอนเซอร์] | คำตอบ, ตอบ
any | det., pron. [เอนี] | ใด
anyone | pron. [เอนีวัน] | ใครก็ได้
anything | pron. [เอนีธิง] | อะไรก็ได้
apartment | n. [อะพาร์ทเมนต์] | อพาร์ตเมนต์
apple | n. [แอปเปิล] | แอปเปิล
April | n. [เอพริล] | เดือนเมษายน
area | n. [แอเรีย] | พื้นที่
arm | n. [อาร์ม] | แขน
around | prep., adv. [อะราวด์] | รอบ
arrive | v. [อะไรฟ์] | มาถึง
art | n. [อาร์ต] | ศิลปะ
article | n. [อาร์ติเคิล] | บทความ
artist | n. [อาร์ทิสต์] | ศิลปิน
as | prep. [แอส] | เหมือน
ask | v. [อาสก์] | ถาม
at | prep. [แอท] | ที่
August | n. [ออกัสต์] | เดือนสิงหาคม
aunt | n. [อานท์] | ป้า, น้า
autumn | n. [ออทัมน์] | ฤดูใบไม้ร่วง
away | adv. [อะเวย์] | ห่างออกไป
baby | n. [เบบี] | ทารก
back | n., adv. [แบ็ค] | หลัง, กลับ
bad | adj. [แบด] | ไม่ดี
bag | n. [แบ็ก] | กระเป๋า
ball | n. [บอล] | ลูกบอล
banana | n. [บานานา] | กล้วย
band | n. [แบนด์] | วงดนตรี
bank (money) | n. [แบงก์] | ธนาคาร
bath | n. [บาธ] | การอาบน้ำ
bathroom | n. [บาธรูม] | ห้องน้ำ
be | v., auxiliary v. [บี] | เป็น, อยู่, คือ
beach | n. [บีช] | ชายหาด
beautiful | adj. [บิวตี้ฟูล] | สวยงาม
because | conj. [บีคอส] | เพราะว่า
become | v. [บีคัม] | กลายเป็น
bed | n. [เบด] | เตียง
bedroom | n. [เบดรูม] | ห้องนอน
beer | n. [เบียร์] | เบียร์
before | prep. [บีฟอร์] | ก่อน
begin | v. [บีกิน] | เริ่มต้น
beginning | n. [บีกินนิง] | การเริ่มต้น
behind | prep., adv. [บีไฮนด์] | ข้างหลัง
believe | v. [บีลีฟ] | เชื่อ
below | adv., prep. [บีโลว์] | ใต้
best | adj. [เบสท์] | ดีที่สุด
better | adj. [เบทเทอร์] | ดีกว่า
between | prep. [บีทวีน] | ระหว่าง
bicycle | n. [ไบซิเคิล] | จักรยาน
big | adj. [บิก] | ใหญ่
bike | n. [ไบค์] | จักรยาน
bill | n. [บิล] | ใบเรียกเก็บเงิน
bird | n. [เบิร์ด] | นก
birthday | n. [เบิร์ธเดย์] | วันเกิด
black | adj., n. [แบล็ก] | สีดำ
blog | n. [บล็อก] | บล็อก
blonde | adj. [บลอนด์] | ผมบลอนด์
blue | adj., n. [บลู] | สีน้ำเงิน
boat | n. [โบ๊ท] | เรือ
body | n. [บอดี้] | ร่างกาย
book | n. [บุ๊ค] | หนังสือ
boot | n. [บูท] | รองเท้าบูท
bored | adj. [บอร์ด] | เบื่อ
boring | adj. [บอริง] | น่าเบื่อ
born | v. [บอร์น] | เกิด
both | det./pron. [โบธ] | ทั้งสอง
bottle | n. [บอทเทิล] | ขวด
box | n. [บ็อกซ์] | กล่อง
boy | n. [บอย] | เด็กชาย
boyfriend | n. [บอยเฟรนด์] | แฟนหนุ่ม
bread | n. [เบรด] | ขนมปัง
break | v., n. [เบรก] | แตก, การหยุดพัก
breakfast | n. [เบรกฟาสต์] | อาหารเช้า
bring | v. [บริง] | นำมา
brother | n. [บราเธอร์] | พี่ชาย, น้องชาย
brown | adj., n. [บราวน์] | สีน้ำตาล
build | v. [บิลด์] | สร้าง
building | n. [บิลดิง] | อาคาร
bus | n. [บัส] | รถบัส
business | n. [บิสเนส] | ธุรกิจ
busy | adj. [บิซี่] | ยุ่ง
but | conj. [บัท] | แต่
butter | n. [บัทเทอร์] | เนย
buy | v. [บาย] | ซื้อ
by | prep. [บาย] | โดย
bye | exclam. [บาย] | ลาก่อน
cafe | n. [คาเฟ่] | คาเฟ่
cake | n. [เค้ก] | เค้ก
call | v., n. [คอลล์] | โทร, การโทร
camera | n. [แคเมรา] | กล้อง
can1 | modal v. [แคน] | สามารถ
cannot | modal v. [แคนนอท] | ไม่สามารถ
capital | n., adj. [แคพพิทัล] | เมืองหลวง
car | n. [คาร์] | รถยนต์
card | n. [การ์ด] | การ์ด
career | n. [คาเรียร์] | อาชีพ
carrot | n. [แครอท] | แครอท
carry | v. [แคร์รี] | ถือ
cat | n. [แคท] | แมว
CD | n. [ซีดี] | ซีดี
cent | n. [เซนต์] | เซนต์
centre | n. [เซ็นเตอร์] | ศูนย์กลาง
century | n. [เซ็นจูรี] | ศตวรรษ
chair | n. [แชร์] | เก้าอี้
change | v., n. [เชนจ์] | เปลี่ยน, การเปลี่ยนแปลง
chart | n. [ชาร์ต] | แผนภูมิ
cheap | adj. [ชีพ] | ราคาถูก
check | v. [เช็ค] | ตรวจสอบ
cheese | n. [ชีส] | ชีส
chicken | n. [ชิกเกน] | ไก่
child | n. [ไชลด์] | เด็ก
chocolate | n. [ช็อกโกแลต] | ช็อกโกแลต
choose | v. [ชูส] | เลือก
cinema | n. [ซินีมา] | โรงภาพยนตร์
city | n. [ซิตี้] | เมือง
class | n. [คลาส] | ชั้นเรียน
classroom | n. [คลาสรูม] | ห้องเรียน
clean | adj., v. [คลีน] | สะอาด, ทำความสะอาด
climb | v. [ไคลม์] | ปีน
clock | n. [คล็อค] | นาฬิกา
close1 | v. [โคลส] | ปิด
clothes | n. [โคลธส์] | เสื้อผ้า
club | n. [คลับ] | สโมสร
coat | n. [โค้ท] | เสื้อโค้ท
coffee | n. [คอฟฟี] | กาแฟ
cold | adj., n. [โคลด์] | หนาว, ความหนาว
college | n. [คอลเลจ] | วิทยาลัย
colour | n. [คัลเลอร์] | สี
come | v. [คัม] | มา
common | adj. [คอมมอน] | ทั่วไป
company | n. [คอมพานี] | บริษัท
compare | v. [คอมแพร์] | เปรียบเทียบ
complete | adj., v. [คอมพลีท] | สมบูรณ์, ทำให้สมบูรณ์
computer | n. [คอมพิวเตอร์] | คอมพิวเตอร์
concert | n. [คอนเสิร์ต] | คอนเสิร์ต
conversation | n. [คอนเวอร์เซชัน] | การสนทนา
cook | v. [คุก] | ทำอาหาร
cooking | n. [คุกกิง] | การทำอาหาร
cool | adj. [คูล] | เย็น
correct | adj., v. [คอเร็คท์] | ถูกต้อง, แก้ไข
cost | n., v. [คอสท์] | ราคา, มีราคา
could | modal v. [คูด] | สามารถ (อดีตของ can)
country | n. [คันทรี] | ประเทศ
course | n. [คอร์ส] | หลักสูตร
cousin | n. [คัซซิน] | ลูกพี่ลูกน้อง
cow | n. [คาว] | วัว
cream | n. [ครีม] | ครีม
create | v. [ครีเอท] | สร้าง
culture | n. [คัลเจอร์] | วัฒนธรรม
cup | n. [คัพ] | ถ้วย
customer | n. [คัสโทเมอร์] | ลูกค้า
cut | v. [คัท] | ตัด
dad | n. [แดด] | พ่อ
dance | n., v. [แดนซ์] | เต้นรำ
dancer | n. [แดนเซอร์] | นักเต้น
dancing | n. [แดนซิง] | การเต้นรำ
dangerous | adj. [เดนเจอรัส] | อันตราย
dark | adj. [ดาร์ก] | มืด
date | n. [เดท] | วันที่
daughter | n. [ดอเทอร์] | ลูกสาว
day | n. [เดย์] | วัน
dear | adj. [เดียร์] | ที่รัก
December | n. [ดีเซมเบอร์] | ธันวาคม
decide | v. [ดีไซด์] | ตัดสินใจ
delicious | adj. [ดิลิเชียส] | อร่อย
describe | v. [ดิสครายบ์] | อธิบาย
description | n. [ดิสคริพชัน] | คำอธิบาย
design | n., v. [ดีไซน์] | ออกแบบ
desk | n. [เดสก์] | โต๊ะทำงาน
detail | n. [ดีเทล] | รายละเอียด
dialogue | n. [ไดอะล็อก] | บทสนทนา
dictionary | n. [ดิคชันนารี] | พจนานุกรม
die | v. [ดาย] | ตาย
diet | n. [ไดเอ็ท] | การควบคุมอาหาร
difference | n. [ดิฟเฟอเรนซ์] | ความแตกต่าง
different | adj. [ดิฟเฟอเรนท์] | แตกต่าง
difficult | adj. [ดิฟฟิคัลท์] | ยาก
dinner | n. [ดินเนอร์] | อาหารเย็น
dirty | adj. [เดอร์ตี้] | สกปรก
discuss | v. [ดิสคัสส์] | อภิปราย
dish | n. [ดิช] | จาน
do1 | v., auxiliary v. [ดู] | ทำ
doctor | n. [ด็อกเทอร์] | หมอ
dog | n. [ด็อก] | สุนัข
dollar | n. [ดอลลาร์] | ดอลลาร์
door | n. [ดอร์] | ประตู
down | adv., prep. [ดาวน์] | ลง
downstairs | adv. [ดาวน์สแตร์ส] | ชั้นล่าง
draw | v. [ดรอว์] | วาด
dress | n., v. [เดรส] | ชุดเดรส, แต่งตัว
drink | n., v. [ดริ๊งค์] | ดื่ม, เครื่องดื่ม
drive | v. [ไดรฟ์] | ขับรถ
driver | n. [ไดรเวอร์] | คนขับรถ
during | prep. [ดัวริง] | ในระหว่าง
DVD | n. [ดีวีดี] | ดีวีดี
each | det., pron., adv. [อีช] | แต่ละ
ear | n. [เอียร์] | หู
early | adj., adv. [เออร์ลี] | แต่เช้า
east | n., adj., adv. [อีสต์] | ตะวันออก
easy | adj. [อีซี่] | ง่าย
eat | v. [อีท] | กิน
egg | n. [เอก] | ไข่
